cust_id,phone
C000001,850-443-5645
C000002,133-500-7663
C000003,362-487-9930
C000004,864-616-4915
C000005,148-347-4152
C000006,168-878-7107
C000007,812-329-5418
C000008,384-772-4626
C000009,718-894-6367
C000010,438-994-3759
C000011,866-676-9283
C000012,446-761-4892
C000013,245-887-2963
C000014,872-594-8869
C000015,720-801-6185
C000016,183-148-5047
C000017,989-527-9100
C000018,934-126-5964
C000019,847-746-3807
C000020,769-520-5576
C000021,825-904-4157
C000022,462-102-7066
C000023,304-475-5028
C000024,474-498-2781
C000025,335-502-9881
C000026,132-181-6374
C000027,522-971-8027
C000028,333-199-1301
C000029,411-126-8986
C000030,640-645-6325
C000031,781-986-5701
C000032,455-574-8615
C000033,793-388-2663
C000034,872-860-5270
C000035,793-115-5313
C000036,552-645-4796
C000037,193-632-1278
C000038,198-497-7869
C000039,676-612-5146
C000040,648-727-9797
C000041,964-436-5595
C000042,503-784-1914
C000043,764-856-2549
C000044,523-883-1220
C000045,359-898-6255
C000046,704-401-2246
C000047,310-129-2902
C000048,641-560-6076
C000049,327-207-2289
C000050,698-954-7108
C000051,935-182-4400
C000052,150-934-1562
C000053,368-523-3024
C000054,750-941-7090
C000055,918-121-4309
C000056,724-366-1567
C000057,822-859-1794
C000058,755-344-1903
C000059,394-536-9849
C000060,214-837-5041
C000061,319-103-6969
C000062,375-228-4061
C000063,509-902-7981
C000064,836-503-8167
C000065,281-268-4912
C000066,135-475-7215
C000067,872-545-4565
C000068,105-768-3835
C000069,150-100-7227
C000070,159-154-7964
C000071,874-268-1785
C000072,275-690-7419
C000073,351-237-4505
C000074,690-541-4379
C000075,406-137-9332
C000076,721-488-3035
C000077,517-444-1888
C000078,620-219-8809
C000079,306-219-8466
C000080,333-463-4480
C000081,472-528-5184
C000082,529-608-5980
C000083,744-574-9770
C000084,750-483-4860
C000085,608-856-4823
C000086,755-337-1994
C000087,315-237-3176
C000088,208-315-2078
C000089,976-915-4640
C000090,318-527-2462
C000091,432-564-8221
C000092,866-711-1021
C000093,779-770-5330
C000094,721-858-3275
C000095,597-269-1418
C000096,988-907-1349
C000097,489-102-5732
C000098,860-967-4505
C000099,713-444-4350
C000100,294-522-2966
C000101,247-596-3265
C000102,773-473-9563
C000103,680-116-4932
C000104,580-634-9135
C000105,724-104-3967
C000106,593-964-1075
C000107,341-486-8542
C000108,819-319-9359
C000109,689-585-1289
C000110,958-245-9665
C000111,615-382-8978
C000112,717-812-2069
C000113,516-145-4817
C000114,979-522-5983
C000115,879-564-7516
C000116,456-976-8103
C000117,840-576-7671
C000118,823-823-4781
C000119,464-940-2921
C000120,488-810-3107
C000121,112-932-5544
C000122,340-164-8547
C000123,871-820-1682
C000124,747-963-8964
C000125,964-167-5872
C000126,848-167-1461
C000127,158-425-3625
C000128,406-761-6807
C000129,918-105-2318
C000130,398-793-4326
C000131,979-665-9569
C000132,883-652-6194
C000133,566-792-6172
C000134,715-142-7025
C000135,551-717-5592
C000136,839-358-9664
C000137,291-605-6362
C000138,756-456-6555
C000139,840-578-1960
C000140,794-513-9946
C000141,536-941-8723
C000142,904-737-3427
C000143,900-700-7931
C000144,765-210-5392
C000145,481-773-2295
C000146,883-679-7802
C000147,600-738-4017
C000148,381-577-3164
C000149,244-295-4810
C000150,724-469-7898
C000151,429-582-7843
C000152,612-300-3710
C000153,401-445-1493
C000154,630-202-5801
C000155,756-371-9022
C000156,571-220-6191
C000157,794-275-2469
C000158,824-384-7138
C000159,181-452-8513
C000160,971-334-6711
C000161,715-370-3002
C000162,324-449-7564
C000163,187-617-8811
C000164,791-813-7058
C000165,399-527-1012
C000166,331-466-3868
C000167,122-401-8337
C000168,544-147-2835
C000169,917-977-9620
C000170,617-629-8114
C000171,671-141-3849
C000172,268-924-6365
C000173,549-537-8424
C000174,299-994-3701
C000175,706-540-2559
C000176,991-703-6642
C000177,628-529-4920
C000178,525-634-7828
C000179,889-641-2349
C000180,966-155-4958
C000181,651-890-9240
C000182,854-992-1511
C000183,754-242-1524
C000184,147-798-5592
C000185,172-968-7323
C000186,390-591-1435
C000187,653-899-7270
C000188,255-239-8465
C000189,938-775-5731
C000190,678-758-5347
C000191,511-642-9698
C000192,320-533-7194
C000193,179-740-8109
C000194,311-764-9898
C000195,498-458-4942
C000196,526-765-4766
C000197,755-880-9381
C000198,503-602-9673
C000199,390-505-7921
C000200,273-808-7884
C000201,796-286-4684
C000202,526-633-2275
C000203,623-784-2070
C000204,637-898-2899
C000205,917-372-1618
C000206,899-200-8215
C000207,808-203-4492
C000208,376-929-5975
C000209,616-867-9664
C000210,439-799-2322
C000211,183-119-3875
C000212,561-730-3553
C000213,113-454-2560
C000214,255-349-9970
C000215,777-868-2205
C000216,635-480-3876
C000217,774-351-9139
C000218,612-208-8082
C000219,993-443-2563
C000220,737-347-7136
C000221,249-430-6328
C000222,683-836-8594
C000223,563-962-7832
C000224,270-133-1164
C000225,178-989-5092
C000226,694-924-7209
C000227,441-619-1614
C000228,703-532-9680
C000229,547-675-5871
C000230,961-691-1777
C000231,859-889-4022
