cust_id,type,fname,lname,email,street,city,state,zip
C000001,Individual,Deanna,Higgins,dhiggins@yahoo.com,2700 Lincoln,West Lafayette,Indiana,47906-14ND
C000002,Individual,Miley,Riley,mriley@hotmail.com,1400 Columbia,Lafayette,Indiana,47901-1805
C000003,Individual,Agata,Lloyd,alloyd@hotmail.com,1214 Columbia,Lafayette,Indiana,47901-1585
C000004,Individual,Charlie,Howard,choward@outlook.com,3866 Campus Suites,West Lafayette,Indiana,47906-0993
C000005,Individual,Elise,Cole,ecole@outlook.com,1305 Cumberland,West Lafayette,Indiana,47906-1310
C000006,Individual,Sabrina,Parker,sparker@outlook.com,1001 Devon,West Lafayette,Indiana,47906-1321
C000007,Business,Connie,Carroll,ccarroll@gmail.com,301 Ferry,Lafayette,Indiana,47901-11ND
C000008,Individual,William,Elliott,welliott@yahoo.com,3201 Soldiers Home,West Lafayette,Indiana,47906-1217
C000009,Individual,Kelsey,Stevens,kstevens@yahoo.com,3876 Campus Suites,West Lafayette,Indiana,47906-0985
C000010,Individual,Cadie,Martin,cmartin@outlook.com,2801 Barlow,West Lafayette,Indiana,47906-1515
C000011,Business,Heather,Martin,hmartin@yahoo.com,100 N 14th,Lafayette,Indiana,47901-15ND
C000012,Individual,Tyler,Owens,towens@yahoo.com,1801 Kalberer,West Lafayette,Indiana,47906-0919
C000013,Individual,Charlie,Perry,cperry@hotmail.com,3115 Courthouse,West Lafayette,Indiana,47906-1064
C000014,Individual,Aida,Martin,amartin@outlook.com,133 N 4th,Lafayette,Indiana,47901-1385
C000015,Individual,Kelsey,Payne,kpayne@gmail.com,3301 Jasper,West Lafayette,Indiana,47906-1295
C000016,Individual,Penelope,Walker,pwalker@yahoo.com,700 Brown,Lafayette,Indiana,47901-1081
C000017,Individual,Amelia,Chapman,achapman@gmail.com,3101 Hamilton,West Lafayette,Indiana,47906-1143
C000018,Individual,Sydney,Armstrong,sarmstrong@gmail.com,201 N 6th,Lafayette,Indiana,47901-1420
C000019,Business,Charlie,Murphy,cmurphy@yahoo.com,3361 Peppermill,West Lafayette,Indiana,47906-1082
